Ano;Safra;Fazenda;Talhao;Cultura;Variedade;Destinação;Colhido (Kg);Area Colhida (Há);Data Colheita
2024;1;Pedra do Cerrado;Pivô 11;Soja;MARACAI IPRO;Grão;564572;162;12/04/2024
2024;1;Pedra do Cerrado;Pivô 13;Soja;BMX OLIMPO IPRO;Grão;158986;42;12/04/2024
2024;1;Pedra do Cerrado;Pivô 14;Soja;BMX OLIMPO IPRO;Grão;432910;92;07/04/2024
2024;1;Pedra do Cerrado;Pivô 6;Soja;GH 2376/2478/2282 IPRO;Grão;435266;140;19/04/2024
2024;1;Pedra do Cerrado;RT-2_G3;Soja;M-SOY 8349 IPRO;Grão;47160;28;22/04/2024
2024;1;Pedra do Cerrado;RT-1_G1;Sorgo;Volumax;Silagem;2920000;200;22/04/2024
2024;1;Pedra do Cerrado;RT-1_G3;Capim;Mombaça;Silagem;910000;35;30/04/2024
2024;1;Pedra do Cerrado;RT-4;Capim;Mombaça;Silagem;625000;25;27/04/2024
2024;1;São Bernardo;Pará de Minas;Milho;NK 503 VIP;Grão;480272;98,08;26/04/2024
2024;1;São Bernardo;Monte Alegre;Milho;NK 503 VIP;Grão;635736;59,42;29/04/2024
2024;1;São Bernardo;Uberaba;Milho;NK 503 VIP;Grão;592175;52,65;24/04/2024
2024;1;São Bernardo;Ituiutaba;Milho;NK 503 VIP;Grão;429750;52,2;26/04/2024
2024;1;São Bernardo;Diamantina;Milho;NK 503 VIP;Grão;514206;54,03;07/05/2024
2024;1;São Bernardo;Juiz de Fora;Milho;NK 503 VIP;Grão;749014;80,69;26/04/2024
2024;1;São Bernardo;Araguari;Milho;NK 503 VIP;Grão;595419;52,96;02/05/2024
2024;1;São Pedro;Brasil;Milho;P3707 LP;Grão;403845;61,49;19/04/2024
2024;2;Boa Viagem;Pivô 9;Milho;MG 616 PWU;Grão;287080;40,08;24/06/2024
2024;2;Boa Viagem;Pivô 10;Milho;AG 8701 PRO4;Grão;436860;67,39;22/06/2024
2024;2;Boa Viagem;Pivô 11;Milho;DKB 360 PRO3;Grão;301420;50,02;19/06/2024
2024;2;Boa Viagem;Pivô 12;Milho;DKB 360 PRO3;Grão;136290;28,09;18/06/2024
2024;1;Pedra do Cerrado;Pivô 5;Milho;NK 555 VIP3;Snaplage;935470;90;17/06/2024
2024;1;Pedra do Cerrado;Pivô 9;Milho;KWS 9606 VIP 3;Snaplage;2104530;195;05/06/2024
2024;2;Boa Viagem;Amazonas;Mix Cobertura;RX 350;Grão;220039;163,17;27/06/2024
2024;2;Boa Viagem;Bahia;Mix Cobertura;RX 350;Grão;83090;40,18;29/06/2024
2024;2;Boa Viagem;Pivô 2;Milho;MG 593 PWU;Grão;300820;48,34;04/07/2024
