Ano;Safra;Fazenda;Talhao;Cultura;Variedade;Destinacao;Area Plantio (ha);Tipo Adubacao;Recomendacao (kg/ha);Data Inicio Plantio;Data Fim Plantio;Estado
2024;2;Atena;Pivô 1;Feijão;TAA DAMA;Grão;125,33;Nenhum;0;10/05/2024;13/05/2024;MG
2024;2;Atena;Pivô 7;Feijão;TAA DAMA;Grão;80,37;Nenhum;0;15/05/2024;20/05/2024;MG
2024;2;Lagoa Bonita;Pivô 3;Milho;B2401 PWU;Grão;85,774;Nenhum;0;07/04/2024;16/04/2024;MG
2024;2;Lagoa Bonita;Pivô 10;Milho;B2782 PWU;Grão;133,01;Nenhum;0;02/05/2024;08/05/2024;MG
2024;2;Lagoa Bonita;Pivô 11;Milho;AS 1820;Grão;114,33;Nenhum;0;24/04/2024;01/05/2024;MG
2024;2;Lagoa Bonita;Pivô 12;Milho;MG 593 PWU;Grão;114,33;Nenhum;0;17/04/2024;20/04/2024;MG
2024;2;Austrália;Pirituba;Sorgo;K 200;Grão;30,49;Nenhum;0;09/03/2024;10/03/2024;MG
2024;2;Austrália;Santa Rita I;Sorgo;K 200;Grão;5,12;Nenhum;0;05/03/2024;06/03/2024;MG
2024;2;Austrália;São Caetano;Sorgo;K 200;Grão;17,61;Nenhum;0;09/03/2024;10/03/2024;MG
2024;2;Austrália;Jaboticabal;Sorgo;K 200;Grão;18;Nenhum;0;09/03/2024;09/03/2024;MG
2024;2;Austrália;Campinas;Sorgo;K 200;Grão;26,62;Nenhum;0;07/03/2024;07/03/2024;MG
2024;2;Austrália;Bauru;Sorgo;K 200;Grão;54,87;Nenhum;0;08/03/2024;08/03/2024;MG
2024;2;Austrália;Ubatuba;Sorgo;K 200;Grão;40,86;Nenhum;0;09/03/2024;09/03/2024;MG
2024;2;Austrália;Marília;Sorgo;K 200;Grão;57,68;Nenhum;0;04/03/2024;05/03/2024;MG
2024;2;Austrália;Santo André;Sorgo;K 200;Grão;7;Nenhum;0;04/03/2024;04/03/2024;MG
2024;2;Austrália;Pivô 3;Milho;MG 593 PWU;Grão;45;Nenhum;0;01/03/2024;02/03/2024;MG
2024;2;Austrália;Pivô 1;Milho;AG 8701 PRO4;Grão;67,56;Nenhum;0;04/03/2024;05/03/2024;MG
2024;2;Boa Viagem;Pivô 2;Milho;MG 593 PWU;Grão;48,34;Nenhum;0;17/02/2024;19/02/2024;MG
2024;2;Boa Viagem;Pivô 3;Milho;AG 8701 PRO4;Grão;33,16;Nenhum;0;14/02/2024;14/02/2024;MG
2024;2;Boa Viagem;Pivô 5;Algodão;FM 906 GLT;Fibras;55,05;Nenhum;0;13/02/2024;15/02/2024;MG
2024;2;Boa Viagem;Pivô 6;Milho;MG 593 PWU;Grão;36,3;Nenhum;0;23/02/2024;26/02/2024;MG
2024;2;Boa Viagem;Pivô 7;Feijão;TAA DAMA;Grão;57,98;Nenhum;0;21/05/2024;28/05/2024;MG
2024;2;Boa Viagem;Pivô 8;Feijão;TAA DAMA;Grão;81,11;Nenhum;0;10/05/2024;23/05/2024;MG
2024;2;Boa Viagem;Pivô 9;Milho;MG 616 PWU;Grão;40,08;Nenhum;0;15/02/2024;17/02/2024;MG
